GROUP_VALUE,GP,MIN,TS_PCT,USG_PCT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,E_NET_RATING,AST_PCT,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,PACE,E_PACE,PIE,PERSON_ID,SEASON_START_YEAR
2019-20,48,11.9,0.505,0.131,109.5,109.4,112.7,113.0,-3.2,-3.6,0.05,0.048,0.12,0.084,7.2,7.2,0.477,104.18,104.06,0.05,1629642,2019
2020-21,48,13.3,0.589,0.135,116.2,115.2,118.4,118.6,-2.2,-3.4,0.049,0.046,0.144,0.094,7.9,7.9,0.551,99.06,99.42,0.072,1629642,2020
2021-22,42,25.9,0.575,0.155,110.2,109.0,111.1,109.8,-0.9,-0.7,0.074,0.052,0.158,0.105,8.9,8.9,0.541,98.46,99.59,0.091,1629642,2021
2022-23,54,18.1,0.555,0.158,111.1,111.1,119.9,119.6,-8.8,-8.6,0.075,0.028,0.122,0.075,8.8,8.8,0.538,99.56,99.71,0.068,1629642,2022
2023-24,45,10.2,0.572,0.132,103.2,105.9,112.7,111.1,-9.5,-5.2,0.068,0.03,0.12,0.077,8.4,8.3,0.544,101.49,100.94,0.073,1629642,2023
2020-21,31,16.5,0.567,0.14,104.6,105.4,111.1,111.7,-6.5,-6.3,0.089,0.039,0.171,0.104,15.5,15.5,0.538,101.87,101.21,0.082,1629685,2020
2021-22,50,9.2,0.519,0.115,101.6,103.2,101.6,103.3,0.0,-0.2,0.111,0.047,0.146,0.098,10.3,10.3,0.485,97.47,95.9,0.069,1629685,2021
2022-23,3,3.5,0.833,0.182,94.4,90.0,90.0,107.4,4.4,-17.4,0.2,0.0,0.0,0.0,20.0,20.0,0.833,87.83,82.38,0.161,1629685,2022
2023-24,6,12.2,0.737,0.124,105.9,105.3,119.5,120.9,-13.6,-15.6,0.061,0.042,0.125,0.084,8.3,8.3,0.737,100.21,99.91,0.094,1629685,2023
2019-20,12,5.4,0.614,0.242,104.4,106.1,103.6,104.8,0.8,1.3,0.05,0.017,0.159,0.089,5.3,5.2,0.578,101.34,100.0,0.112,1629662,2019
2020-21,23,4.1,0.39,0.188,85.8,90.3,95.9,96.6,-10.1,-6.3,0.089,0.01,0.118,0.068,13.0,13.1,0.344,100.3,97.44,0.003,1629662,2020
2022-23,4,9.1,0.381,0.107,108.3,107.4,115.3,119.3,-6.9,-11.9,0.0,0.132,0.152,0.141,11.1,11.3,0.286,94.86,93.7,0.046,1629662,2022
2019-20,57,22.3,0.454,0.2,101.8,102.1,110.0,110.4,-8.2,-8.3,0.16,0.007,0.087,0.045,9.8,9.7,0.406,103.47,103.14,0.051,1629673,2019
2020-21,51,19.4,0.581,0.246,107.6,107.0,106.9,107.1,0.7,-0.1,0.161,0.015,0.074,0.044,7.6,7.5,0.535,101.94,102.16,0.101,1629673,2020
2021-22,76,30.0,0.598,0.252,112.1,111.5,105.5,104.5,6.6,7.0,0.207,0.015,0.094,0.056,11.3,11.2,0.548,100.05,100.82,0.111,1629673,2021
2022-23,82,30.0,0.573,0.282,111.0,110.7,111.8,111.0,-0.8,-0.3,0.234,0.013,0.073,0.043,12.2,12.1,0.514,104.15,104.64,0.104,1629673,2022
2023-24,78,30.1,0.529,0.256,108.4,107.8,119.5,117.9,-11.1,-10.1,0.212,0.013,0.074,0.043,10.4,10.4,0.491,104.7,105.73,0.076,1629673,2023
2019-20,17,17.7,0.711,0.164,114.7,115.9,103.4,104.9,11.3,11.0,0.066,0.033,0.146,0.092,9.5,9.5,0.669,108.34,106.98,0.112,1629640,2019
2020-21,69,28.5,0.557,0.189,110.0,108.9,113.8,113.1,-3.8,-4.2,0.087,0.045,0.163,0.103,7.9,7.9,0.522,100.04,100.86,0.091,1629640,2020
2021-22,75,31.9,0.574,0.21,113.2,111.4,111.1,110.3,2.1,1.1,0.091,0.031,0.148,0.089,6.8,6.7,0.545,101.51,102.65,0.102,1629640,2021
2022-23,63,32.8,0.551,0.273,110.2,107.8,121.4,119.9,-11.3,-12.2,0.137,0.025,0.133,0.076,8.6,8.5,0.512,101.73,103.49,0.103,1629640,2022
2023-24,69,29.5,0.565,0.212,108.5,107.7,116.1,115.8,-7.7,-8.2,0.142,0.043,0.135,0.088,8.0,8.0,0.527,103.68,104.21,0.098,1629640,2023
2019-20,50,23.2,0.535,0.202,102.0,100.5,113.2,113.2,-11.2,-12.7,0.147,0.018,0.121,0.068,14.0,13.9,0.505,100.15,100.89,0.069,1629645,2019
